Cat,Single measure core date,reviewed,Modality,no,Item,Description,ItemType,Required,Values,AMP_PD_item,conversion,Comment
3,0,,Vital,1,weight_kg,in kg,numeric,nullable,(y>=20) & (y<=225),,,
3,0,,Vital,1,height_cm,in cm,numeric,nullable,(y>=100) & (y<=220),,,
3,0,,Vital,1,BMI,,numeric,nullable,(y>=10) & (y<=75),,,
3,0,,Vital,1,heart_rate,per minute,numeric,nullable,(y>=35) & (y<=200),,,
3,0,,Vital,1,systolic_blood_pressure,"in mmHg (use only if no information is given on sitting, standing, or supine positioning)",numeric,nullable,(y>=50) & (y<=250),,,
3,0,,Vital,1,diastolic_blood_pressure,"in mmHg (use only if no information is given on sitting, standing, or supine positioning)",numeric,nullable,(y>=30) & (y<=250),,,
1,1,,MDS_Diagnostic_criteria,1,dx_essential_bradykinesia,essential criterion: required,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,2,dx_essential_rest_tremor,essential criterion: either rest_tremor or rigidity required,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,3,dx_essential_rigidity,essential criterion: either rest_tremor or rigidity required,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,4,dx_supportive_1_positive_drug_response,"1. Clear and dramatic beneficial response to dopaminergic therapy. During initial treatment, patient returned to normal or near-normal level of function. In
the absence of clear documentation of initial response a dramatic response can be classified as:
a) Marked improvement with dose increases or marked worsening with dose decreases. Mild changes do not qualify. Document this either objectively
(>30% in UPDRS III with change in treatment), or subjectively (clearly-documented history of marked changes from a reliable patient or caregiver).
b) Unequivocal and marked on/off fluctuations, which must have at some point included predictable end-of-dose wearing off.",string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,5,dx_supportive_2_levodopa_induced_dyskinesia,2. Presence of levodopa-induced dyskinesia,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,6,dx_supportive_3_rest_tremor,"3. Rest tremor of a limb, documented on clinical examination (in past, or on current examination)",string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,7,dx_supportive_4_olfactory_loss_or_MIBG,4. The presence of either olfactory loss or cardiac sympathetic denervation on MIBG scintigraphy,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,8,dx_exclusion_1_cerebellar_signs,"1. Unequivocal cerebellar abnormalities, such as cerebellar gait, limb ataxia, or cerebellar oculomotor abnormalities (eg, sustained gaze evoked nystagmus, macro square wave jerks, hypermetric saccades)",string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,9,dx_exclusion_2_abnormal_eye_movement,"2. Downward vertical supranuclear gaze palsy, or selective slowing of downward vertical saccades",string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,10,dx_exclusion_3_FTD_5y,"3. Diagnosis of probable behavioral variant frontotemporal dementia or primary progressive aphasia, defined according to consensus criteria31 within the first 5 y of disease",string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,11,dx_exclusion_4_lower_limbs_only_3y,4. Parkinsonian features restricted to the lower limbs for more than 3 y,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,12,dx_exclusion_5_drug_induced_parkinsonism,5. Treatment with a dopamine receptor blocker or a dopamine-depleting agent in a dose and time-course consistent with drug-induced parkinsonism,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,13,dx_exclusion_6_no_drug_response,6. Absence of observable response to high-dose levodopa despite at least moderate severity of disease,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,14,dx_exclusion_7_cortical_signs,"7. Unequivocal cortical sensory loss (ie, graphesthesia, stereognosis with intact primary sensory modalities), clear limb ideomotor apraxia, or progressive aphasia",string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,15,dx_exclusion_8_negative_neuroimaging,8. Normal functional neuroimaging of the presynaptic dopaminergic system,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,16,dx_exclusion_9_other_parkinsonism,"9. Documentation of an alternative condition known to produce parkinsonism and plausibly connected to the patient’s symptoms, or, the expert evaluating
physician, based on the full diagnostic assessment feels that an alternative syndrome is more likely than PD",string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,17,dx_redflag_01_gait_impairment_5y,1. Rapid progression of gait impairment requiring regular use of wheelchair within 5 y of onset,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,18,dx_redflag_02_progression_absent,2. A complete absence of progression of motor symptoms or signs over 5 or more y unless stability is related to treatment,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,19,dx_redflag_03_severe_bulbar_dysfunction_5y,"3. Early bulbar dysfunction: severe dysphonia or dysarthria (speech unintelligible most of the time) or severe dysphagia (requiring soft food, NG tube, or gastrostomy feeding) within first 5 y",string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,20,dx_redflag_04_inspiratory_respiratory_dysfunction,4. Inspiratory respiratory dysfunction: either diurnal or nocturnal inspiratory stridor or frequent inspiratory sighs,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,21,dx_redflag_05_severe_autonomic_failure_5y,"5. Severe autonomic failure in the first 5 y of disease. This can include:
a) Orthostatic hypotension32—orthostatic decrease of blood pressure within 3 min of standing by at least 30 mm Hg systolic or 15 mm Hg diastolic, in
the absence of dehydration, medication, or other diseases that could plausibly explain autonomic dysfunction, or
b) Severe urinary retention or urinary incontinence in the first 5 y of disease (excluding long-standing or small amount stress incontinence in women),
that is not simply functional incontinence. In men, urinary retention must not be attributable to prostate disease, and must be associated with erectile
dysfunction",string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,22,dx_redflag_06_recurrent_falls_3y,6. Recurrent (>1/y) falls because of impaired balance within 3 y of onset,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,23,dx_redflag_07_dysproportionate_dystonia,7. Disproportionate anterocollis (dystonic) or contractures of hand or feet within the first 10 y,string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,24,dx_redflag_08_no_nonmotor_symptoms_5y,"8. Absence of any of the common nonmotor features of disease despite 5 y disease duration. These include sleep dysfunction (sleep-maintenance insomnia, excessive daytime somnolence, symptoms of REM sleep behavior disorder), autonomic dysfunction (constipation, daytime urinary urgency, symptomatic orthostasis), hyposmia, or psychiatric dysfunction (depression, anxiety, or hallucinations)",string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,25,dx_redflag_09_unexplained_pyramidal_tract_signs,"9. Otherwise-unexplained pyramidal tract signs, defined as pyramidal weakness or clear pathologic hyperreflexia (excluding mild reflex asymmetry and isolated extensor plantar response)",string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,26,dx_redflag_10_symmetric_parkinsonism,"10. Bilateral symmetric parkinsonism. The patient or caregiver reports bilateral symptom onset with no side predominance, and no side predominance is observed on objective examination",string,nullable,"[""Yes"", ""No""]",,,
1,1,,MDS_Diagnostic_criteria,27,dx_criteria_application,Apply the criteria,string,nullable,"[""Clinically established PD"", ""Probable PD"", ""Other"", 'Unknown""]",,,
added,1,,PD History,,age_at_onset,Age at onset (any symptom),numeric,nullable,(y>=0) & (y<=120),,,
change?,1,,PD History,1,age_at_first_motor_symptom,Age at first motor symptom,numeric,nullable,(y>=0) & (y<=120),,,
1,1,,PD History,2,first_motor_symptom,"First motor symptom. pick all that apply and separate with ""|"". (e.g, 1, 1|3 or 2|3|5)",string,nullable,"{1:""tremor"", 2:""micrographia"", 3:""stiffness/frozen shoulder"", 4:""Impaired manual dexterity"", 5:""Gait disorder"", 6:""General slowing up"", 7:""Other""}",,,
1,1,,PD History,3,age_at_diagnosis,Age at diagnosis,numeric,nullable,(y>=0) & (y<=120),,,
added,1,,PD History,19,living_status_at_censoring,"Event is death. 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",,,
added,1,,PD History,20,age_at_living_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),,,
added,1,,PD History,21,hy3_status_at_censoring,"Event is reaching hy 3 or higher. 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",,,
added,1,,PD History,22,age_at_hy3_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),,,
added,1,,PD History,23,dyskinesia_status_at_censoring,"Event is dyskinesia occurance. 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",,,
added,1,,PD History,24,age_at_dyskinesia_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),,,
added,1,,PD History,25,motor_fluctuation_status_at_censoring,"Event is motor fluctuation occurance. 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",,,
added,1,,PD History,26,age_at_motor_fluctuation_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),,,
added,1,,PD History,27,levodopa_status_at_censoring,"Event is initiation of levodopa. 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",,,
added,1,,PD History,28,age_at_levodopa_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),,,
added,1,,PD History,27,agonist_status_at_censoring,"Event is initiation of agonist. 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",,,
added,1,,PD History,28,age_at_agonist_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),,,
added,1,,PD History,29,pdmed_status_at_censoring,"Event is initiation of any PD medication. 0=right censored (not yet) 1= event at the ""age"", 2=left censored (already)",numeric,nullable,"y.isin([0,1,2])",,,
added,1,,PD History,30,age_at_pdmed_status_censored,"age at event (status=1), age at last obs (status=0), age at first obs (status=2)",numeric,nullable,(y>=0) & (y<=120),,,
added,1,,PD History,19,age_brain_surgery,age at brain surgery,numeric,nullable,(y>=0) & (y<=120),,,
added,1,,PD History,20,brain surgery type,type of brain surgery,string,nullable,"[""DBS-STN"", ""DBS-GP"", ""DBS-VIM"", ""DBS-Other"", ""DBS-Unknown"", ""Pallidotomy (RF/RS)"", ""UltraSound VIM"", ""UltraSound STN"",  ""UltraSound GP"", ""Other""]",,,
1,0,,CISI-PD,1,code_cisi_pd_motor,"CISI-PD motor signs = {0:Normal, 1:Very Mild, 2:Mile, 3:Mild to moderate, 4:Moderate, 5:Severe, 6:Very severe}",integer,nullable,"y.isin([0, 1, 2, 3, 4, 5, 6])",,,
1,0,,CISI-PD,2,code_cisi_pd_disability,"CISI-PD disability = {0:Normal, 1:Minimal slowness and/or clumsiness, 2:Slowness and/or clumsiness; no limitations, 3: Limitation for demanding activities; does not need help for basic ADL, 4: Limitation to perform basic ADL; help is required for some basic ADL, 5:Great limitation to perform basic ADL; help is requred most or all basic ADL, 6:Severly disabled; helpless; complete assistance needed}",integer,nullable,"y.isin([0, 1, 2, 3, 4, 5, 6])",,,
1,0,,CISI-PD,3,code_cisi_pd_motor_complications,"CISI-PD motor complications (dyskinesia and fluctuations) = {0:Normal, 1:Very Mild, 2:Mile, 3:Mild to moderate, 4:Moderate, 5:Severe, 6:Very severe}",integer,nullable,"y.isin([0, 1, 2, 3, 4, 5, 6])",,,
1,0,,CISI-PD,4,code_cisi_pd_cognitive,"CISI-PD cognitive status = {0:Normal, 1:Slowness and/or minimal cognitive problems, 2:Mild cognitie problems; no limitations, 3:Mild to moderate cognitive problems; does not need help for basic ADL, 4:Moderate cognitive problems; help is require for some basic ADL, 5:Severe cognitive problems; help is required for most or all basic ADL, 6:Severely disabled; helpless; complete assistance needed}",integer,nullable,"y.isin([0, 1, 2, 3, 4, 5, 6])",,,
2,1,,Medical History,1,hx_hypertension,Have you ever been diagnosed with Hypertension/High blood pressure?,string,nullable,"[""Yes"", ""No""]",,,
2,1,,Medical History,2,hx_hyperlipidemia,Have you ever been diagnosed with Hyperlipidemia/High cholesterol?,string,nullable,"[""Yes"", ""No""]",,,
2,1,,Medical History,3,hx_diabetes,Have you ever been diagnosed with Diabetes?,string,nullable,"[""Yes"", ""No""]",,,
2,1,,Medical History,4,hx_myocardinal_infarction,Have you ever been diagnosed with Myocardial infarction/coronary thrombosis/heart attack?,string,nullable,"[""Yes"", ""No""]",,,
2,1,,Medical History,5,hx_congestive_heart_failure,Have you ever been diagnosed with Congestive heart failure,string,nullable,"[""Yes"", ""No""]",,,
added,1,,Medical History,6,hx_heart_disease,"Have you ever been diagnosed with Heart disease? (MI, Angina, Af, AF)",string,nullable,"[""Yes"", ""No""]",,,
added,1,,Medical History,7,hx_dementia_mci,Have you ever been diagnosed with Dementia or MCI?,string,nullable,"[""Yes"", ""No""]",,,
2,1,,Medical History,8,hx_stroke,Have you ever been diagnosed with Stroke/TIA,string,nullable,"[""Yes"", ""No""]",,,
2,1,,Medical History,9,hx_melanoma,Have you ever been diagnosed with Melanoma,string,nullable,"[""Yes"", ""No""]",,,
changed,1,,Medical History,10,hx_cancer,Have you ever been diagnosed with Cancer (Other than melanoma) -> any cancer,string,nullable,"[""Yes"", ""No""]",,,
added,1,,Medical History,,hx_crohn,Have you ever been diagnosed with Crohn's disease,string,nullable,"[""Yes"", ""No""]",,,
clarification,1,,Medical History,11,hx_autoimmune_disease,"Have you ever been diagnosed with autoimmune disease? (Includes rheumatoid arthritis, lupus)",string,nullable,"[""Yes"", ""No""]",,,
2,1,,Medical History,12,hx_depression,Have you ever been diagnosed with depression,string,nullable,"[""Yes"", ""No""]",,,
2,1,,Medical History,13,hx_schizophrenia,Have you ever been diagnosed with schizophrenia,string,nullable,"[""Yes"", ""No""]",,,
2,1,,Medical History,14,hx_bipolar,Have you ever been diagnosed with bipolar disorder,string,nullable,"[""Yes"", ""No""]",,,
2,1,,Medical History,15,hx_restless_legs_syndrome,Have you ever been diagnosed with restless legs syndrome,string,nullable,"[""Yes"", ""No""]",,,
added,1,,Medical History,16,hx_head_trauma,Have you ever had a head injury or concussion?,string,nullable,"[""Yes"", ""No""]",,,
added,1,,Medical History,17,hx_anxiety,Have you ever been diagnosed with anxiety disorder,string,nullable,"[""Yes"", ""No""]",,,
added,1,,Medical History,18,hx_constipation,Have you ever diagnosed with constipation,string,nullable,"[""Yes"", ""No""]",,,
added,1,,Medical History,19,hx_sleep,Have you ever diagnosed with sleeping problems?,string,nullable,"[""Yes"", ""No""]",,,
added,1,,Lifestyle,1,smoking_status,Smoking status (Can ignore non-substantial smoking),string,nullable,"[""Current smoker"", ""Former smoker"", ""Never"", ""Unknown""]",,,
added,1,,Lifestyle,2,smoking_ever_smoker_yes,Smoking status 2 (Can ignore non-substantial smoking) Ever/Never distinction (Ever=1),integer,nullable,"y.isin([0,1])",,,
added,1,,Lifestyle,3,smoking_years,Smoking years  (Can ignore non-substantial smoking),numeric,nullable,(y>=0) & (y<=120),,,
added,1,,Lifestyle,4,smoking_pack_years,Smoking pack (20) x years,numeric,nullable,(y>=0) & (y<=10000),,,
added,0,,Clinical diagnosis of complications,1,clinical_dx_constipation,Does the participants have constipation?,string,nullable,"[""Yes"", ""No""]",,,
added,0,,Clinical diagnosis of complications,2,clinical_dx_hyposmia,Does the participants have hyposmia?,string,nullable,"[""Yes"", ""No""]",,,
added,0,,Clinical diagnosis of complications,3,clinical_dx_depression,Does the participants have depression?,string,nullable,"[""Yes"", ""No""]",,,
added,0,,Clinical diagnosis of complications,4,clinical_dx_mild_cognitive_impairment,Does the participants have mild cognitive impairment?,string,nullable,"[""Yes"", ""No""]",,,
added,0,,Clinical diagnosis of complications,5,clinical_dx_dementia,Does the participants have dementia?,string,nullable,"[""Yes"", ""No""]",,,
added,0,,Clinical diagnosis of complications,6,clinical_dx_insomnia,Does the participants have insomnia?,string,nullable,"[""Yes"", ""No""]",,,
added,0,,Clinical diagnosis of complications,7,clinical_dx_daytime_sleep,Does the participants have daytime sleepiness?,string,nullable,"[""Yes"", ""No""]",,,
added,0,,Clinical diagnosis of complications,8,clinical_dx_dyskinesia,Does the participants have dyskinesia?,string,nullable,"[""Yes"", ""No""]",,,
added,0,,Clinical diagnosis of complications,8,clinical_dx_waring_off,Does the participants have waring off?,string,nullable,"[""Yes"", ""No""]",,,
delete,0,,Current Medication Status,1,Age at current medication review,"Age at evaluation of ""Current Medication Review""",numeric,nullable,(y>=20) & (y<=120),,,
,0,,Current Medication Status,,Medication_data_availability,Is the medication data available? Yes or no for the dataset,integer,nullable,"y.isin([0,1])",,,
2,0,,Current Medication Status,2,levodopa_mg_daily,Levodopa Dosage per day,numeric,nullable,(y>=0) & (y<=10000),,,
2,0,,Current Medication Status,3,ledd_daily,Levodopa Equivalent Dosage (LEDD) per day (including all PD meds),numeric,nullable,(y>=0) & (y<=10000),,,
Primary Clinical Diagnosis?,0,,Current Medication Status,4,levodopa_best_response_pct,Best ever patient reported response to levodopa (%: 0-100),numeric,nullable,,,,
2,0,,Current Medication Status,5,levodopa_use,Usage of levodopa,string,nullable,"[""Yes"", ""No""]",,,
2,0,,Current Medication Status,6,dopamine_agonist_use,Usage of dopamine agonist,string,nullable,"[""Yes"", ""No""]",,,
2,0,,Current Medication Status,7,anticholinergics_use,Usage of anticholinergics,string,nullable,"[""Yes"", ""No""]",,,
2,0,,Current Medication Status,8,brain_surgery,Usage of DBS/Brain surgery,string,nullable,"[""Yes"", ""No""]",,,
2,0,,Current Medication Status,9,cholin_esterase_inhibitor_use,Usage of cholinesterase Inhibitors,string,nullable,"[""Yes"", ""No""]",,,
2,0,,Current Medication Status,10,anti_depressant_use,Usage of anti-depressant drugs,string,nullable,"[""Yes"", ""No""]",,,
2,0,,Current Medication Status,11,sleeping_pills_use,Usage of sleeping pills,string,nullable,"[""Yes"", ""No""]",,,
changed,0,,Current Medication Status,12,stomach_medicines_use,"Usage of stomach medicines (including for nausea, GERD)",string,nullable,"[""Yes"", ""No""]",,,
changed,0,,Current Medication Status,13,laxatives_use,Usage of laxatives (not fibers),string,nullable,"[""Yes"", ""No""]",,,
2,0,,Current Medication Status,14,NSAIDs_use,Usage of NSAIDs,string,nullable,"[""Yes"", ""No""]",,,
2,0,,Current Medication Status,15,morphines_use,Usage of morphines,string,nullable,"[""Yes"", ""No""]",,,
2,0,,Current Medication Status,16,anti_psychotics_use,Usage of anti-psychotics,string,nullable,"[""Yes"", ""No""]",,,
added,0,,Current Medication Status,16,insulin_use,Usage of insulin,string,nullable,"[""Yes"", ""No""]",,,
added,0,,Current Medication Status,16,hormone_replacement_therapy,Usage of sex hormones replacement therapy,string,nullable,"[""Yes"", ""No""]",,,
2,0,,Hoehn and Yahr,36,hoehn_and_yahr_stage,modified or original HY,numeric,nullable,(y>=0) & (y<=5),code_upd2hy_hoehn_and_yahr_stage,convertible,
added,0,,Rankin Scale,1,rankin_scale,modified or original Rankin Scale,numeric,nullable,(y>=0) & (y<=6),,,
2,0,,MDS-UPDRS Part I,1,mds_updrs_part_i_primary_info_source,MDS-UPDRS Part I Questions 1-6 Primary Source Of Information,string,nullable,,mds_updrs_part_i_primary_info_source,identical,
2,0,,MDS-UPDRS Part I,2,code_upd2101_cognitive_impairment,1.01 MDS-UPDRS - Cognitive Impairment (UPD2101),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2101_cognitive_impairment,identical,
2,0,,MDS-UPDRS Part I,3,code_upd2102_hallucinations_and_psychosis,1.02 MDS-UPDRS - Hallucinations and Psychosis (UPD2102),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2102_hallucinations_and_psychosis,identical,
2,0,,MDS-UPDRS Part I,4,code_upd2103_depressed_mood,1.03 MDS-UPDRS - Depressed Mood (UPD2103),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2103_depressed_mood,identical,
2,0,,MDS-UPDRS Part I,5,code_upd2104_anxious_mood,1.04 MDS-UPDRS - Anxious Mood (UPD2104),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2104_anxious_mood,identical,
2,0,,MDS-UPDRS Part I,6,code_upd2105_apathy,1.05 MDS-UPDRS - Apathy (UPD2105),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2105_apathy,identical,
2,0,,MDS-UPDRS Part I,7,code_upd2106_dopamine_dysregulation_syndrome_features,1.06 MDS-UPDRS - Features of Dopamine Dysregulation Syndrome (UPD2106),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2106_dopamine_dysregulation_syndrome_features,identical,
2,0,,MDS-UPDRS Part I,8,mds_updrs_part_i_sub_score,MDS-UPDRS Part I Questions 1-6 Summary Sub-Score,integer,nullable,(y>=0) & (y<=24),mds_updrs_part_i_sub_score,identical,
2,0,,MDS-UPDRS Part I,9,mds_updrs_part_i_pat_quest_primary_info_source,MDS-UPDRS Part I Patient Questionnaire Primary Source Of Information,string,nullable,,mds_updrs_part_i_pat_quest_primary_info_source,identical,
